,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt
20,42,A,P1,,,OMT52,562859,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730433,59.963675,False,False,False,False,False,False,True,[32.1 31.  30.8 ... 22.4 22.4 23.2],[12.7 12.7 12.7 ... 12.7 12.7 12.7],[32.1 31.  30.8 ... 22.4 22.4 23.2],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[12.7 12.7 12.7 ... 12.7 12.7 12.7],0,0,0,0,0,0,0,[44.8 43.7 43.5 ... 35.1 35.1 35.9],209900.0,8.0,10.0,105366.80000000002,0,0,104519.69999999998,0,0,0,0.0,0,0,8.4,0,0,0,0.0,0,0,9.5,0,0,0
21,44,A,P2,,,OMT54,562860,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.73106,59.963685,False,False,False,False,False,False,True,[18.55 15.75 14.3  ... 15.   16.35 17.55],[10.85 10.85 10.85 ... 10.85 10.85 10.85],[18.55 15.75 14.3  ... 15.   16.35 17.55],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[10.85 10.85 10.85 ... 10.85 10.85 10.85],0,0,0,0,0,0,0,[29.4  26.6  25.15 ... 25.85 27.2  28.4 ],182100.0,8.0,7.0,91340.4,0,0,90786.19999999998,0,0,0,0.0,0,0,8.2,0,0,0,0.0,0,0,7.4,0,0,0
22,44,A,P1,,,OMT54,562860,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.73106,59.963685,False,False,False,False,False,False,True,[18.55 15.75 14.3  ... 15.   16.35 17.55],[10.85 10.85 10.85 ... 10.85 10.85 10.85],[18.55 15.75 14.3  ... 15.   16.35 17.55],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[10.85 10.85 10.85 ... 10.85 10.85 10.85],0,0,0,0,0,0,0,[29.4  26.6  25.15 ... 25.85 27.2  28.4 ],182100.0,8.0,7.0,91340.4,0,0,90786.19999999998,0,0,0,0.0,0,0,8.2,0,0,0,0.0,0,0,7.4,0,0,0
23,44,A,E,,,OMT54,562860,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.73106,59.963685,False,False,False,False,False,False,True,[18.55 15.75 14.3  ... 15.   16.35 17.55],[10.85 10.85 10.85 ... 10.85 10.85 10.85],[18.55 15.75 14.3  ... 15.   16.35 17.55],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[10.85 10.85 10.85 ... 10.85 10.85 10.85],0,0,0,0,0,0,0,[29.4  26.6  25.15 ... 25.85 27.2  28.4 ],182100.0,8.0,7.0,91340.4,0,0,90786.19999999998,0,0,0,0.0,0,0,8.2,0,0,0,0.0,0,0,7.4,0,0,0
24,46,A,E,,,OMT60,562861,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731766,59.963828,False,False,False,False,False,False,True,"[12.86224855 10.96910374 10.6907001  ... 11.58159177 13.86450169
 13.75314023]",[7.62825996 7.62825996 7.62825996 ... 7.62825996 7.62825996 7.62825996],"[12.86224855 10.96910374 10.6907001  ... 11.58159177 13.86450169
 13.75314023]","[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[7.62825996 7.62825996 7.62825996 ... 7.62825996 7.62825996 7.62825996],0,0,0,0,0,0,0,"[20.49050852 18.59736371 18.31896006 ... 19.20985173 21.49276165
 21.38140019]",133700.0,8.0,9.0,66913.63590027488,0,0,66781.86522629214,0,0,0,0.5011265669901297,0,0,7.628259964183083,0,0,0,0.9036982424722,0,0,7.628259964183083,0,0,0
25,46,A,P2,,,OMT60,562861,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731766,59.963828,False,False,False,False,False,False,True,"[12.86224855 10.96910374 10.6907001  ... 11.58159177 13.86450169
 13.75314023]",[7.62825996 7.62825996 7.62825996 ... 7.62825996 7.62825996 7.62825996],"[12.86224855 10.96910374 10.6907001  ... 11.58159177 13.86450169
 13.75314023]","[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[7.62825996 7.62825996 7.62825996 ... 7.62825996 7.62825996 7.62825996],0,0,0,0,0,0,0,"[20.49050852 18.59736371 18.31896006 ... 19.20985173 21.49276165
 21.38140019]",133700.0,8.0,9.0,66913.63590027488,0,0,66781.86522629214,0,0,0,0.5011265669901297,0,0,7.628259964183083,0,0,0,0.9036982424722,0,0,7.628259964183083,0,0,0
26,46,A,P1,,,OMT60,562861,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731766,59.963828,False,False,False,False,False,False,True,"[12.86224855 10.96910374 10.6907001  ... 11.58159177 13.86450169
 13.75314023]",[7.62825996 7.62825996 7.62825996 ... 7.62825996 7.62825996 7.62825996],"[12.86224855 10.96910374 10.6907001  ... 11.58159177 13.86450169
 13.75314023]","[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[7.62825996 7.62825996 7.62825996 ... 7.62825996 7.62825996 7.62825996],0,0,0,0,0,0,0,"[20.49050852 18.59736371 18.31896006 ... 19.20985173 21.49276165
 21.38140019]",133700.0,8.0,9.0,66913.63590027488,0,0,66781.86522629214,0,0,0,0.5011265669901297,0,0,7.628259964183083,0,0,0,0.9036982424722,0,0,7.628259964183083,0,0,0
27,58,A,E,,,OMT6,592797,Studenthjem/studentboliger,Hus,Eldre,1969,0,5,10.732976,59.964701,False,False,False,False,False,False,True,[3.4 3.4 3.4 ... 1.  0.  0. ],[2.8 2.8 2.8 ... 2.8 2.2 2.4],[3.4 3.4 3.4 ... 1.  0.  0. ],"[38.95560713 39.15847417 41.67505262 ... 33.78891751 32.39709556
 29.56722878]",[2.8 2.8 2.8 ... 2.8 2.2 2.4],0,0,0,0,0,0,0,[6.2 6.2 6.2 ... 3.8 2.2 2.4],47100.0,5.0,1.0,23704.0,0,0,23413.6,0,0,0,2.0,0,0,2.8,0,0,0,0.0,0,0,1.4,0,0,0
28,58,A,P1,,,OMT6,592797,Studenthjem/studentboliger,Hus,Eldre,1969,0,5,10.732976,59.964701,False,False,False,False,False,False,True,[3.4 3.4 3.4 ... 1.  0.  0. ],[2.8 2.8 2.8 ... 2.8 2.2 2.4],[3.4 3.4 3.4 ... 1.  0.  0. ],"[38.95560713 39.15847417 41.67505262 ... 33.78891751 32.39709556
 29.56722878]",[2.8 2.8 2.8 ... 2.8 2.2 2.4],0,0,0,0,0,0,0,[6.2 6.2 6.2 ... 3.8 2.2 2.4],47100.0,5.0,1.0,23704.0,0,0,23413.6,0,0,0,2.0,0,0,2.8,0,0,0,0.0,0,0,1.4,0,0,0
29,58,A,P2,,,OMT6,592797,Studenthjem/studentboliger,Hus,Eldre,1969,0,5,10.732976,59.964701,False,False,False,False,False,False,True,[3.4 3.4 3.4 ... 1.  0.  0. ],[2.8 2.8 2.8 ... 2.8 2.2 2.4],[3.4 3.4 3.4 ... 1.  0.  0. ],"[38.95560713 39.15847417 41.67505262 ... 33.78891751 32.39709556
 29.56722878]",[2.8 2.8 2.8 ... 2.8 2.2 2.4],0,0,0,0,0,0,0,[6.2 6.2 6.2 ... 3.8 2.2 2.4],47100.0,5.0,1.0,23704.0,0,0,23413.6,0,0,0,2.0,0,0,2.8,0,0,0,0.0,0,0,1.4,0,0,0
30,60,A,P1,,,OMT8-10,592798,Studenthjem/studentboliger,Hus,Eldre,7807,0,10,10.732541,59.964932,False,False,False,False,False,False,True,[57.6 58.4 55.8 ... 65.  59.6 16.8],[50.6 50.6 50.6 ... 50.6 50.6 50.6],[57.6 58.4 55.8 ... 65.  59.6 16.8],"[149.87106666 150.65154222 160.33339095 ... 129.99363844 124.63898332
 113.75184321]",[50.6 50.6 50.6 ... 50.6 50.6 50.6],0,0,0,0,0,0,0,[108.2 109.  106.4 ... 115.6 110.2  67.4],877900.0,71.0,45.0,439960.4,0,0,437940.00000000006,0,0,0,20.4,0,0,50.6,0,0,0,0.0,0,0,45.2,0,0,0
31,60,A,P2,,,OMT8-10,592798,Studenthjem/studentboliger,Hus,Eldre,7807,0,10,10.732541,59.964932,False,False,False,False,False,False,True,[57.6 58.4 55.8 ... 65.  59.6 16.8],[50.6 50.6 50.6 ... 50.6 50.6 50.6],[57.6 58.4 55.8 ... 65.  59.6 16.8],"[149.87106666 150.65154222 160.33339095 ... 129.99363844 124.63898332
 113.75184321]",[50.6 50.6 50.6 ... 50.6 50.6 50.6],0,0,0,0,0,0,0,[108.2 109.  106.4 ... 115.6 110.2  67.4],877900.0,71.0,45.0,439960.4,0,0,437940.00000000006,0,0,0,20.4,0,0,50.6,0,0,0,0.0,0,0,45.2,0,0,0
32,60,A,E,,,OMT8-10,592798,Studenthjem/studentboliger,Hus,Eldre,7807,0,10,10.732541,59.964932,False,False,False,False,False,False,True,[57.6 58.4 55.8 ... 65.  59.6 16.8],[50.6 50.6 50.6 ... 50.6 50.6 50.6],[57.6 58.4 55.8 ... 65.  59.6 16.8],"[149.87106666 150.65154222 160.33339095 ... 129.99363844 124.63898332
 113.75184321]",[50.6 50.6 50.6 ... 50.6 50.6 50.6],0,0,0,0,0,0,0,[108.2 109.  106.4 ... 115.6 110.2  67.4],877900.0,71.0,45.0,439960.4,0,0,437940.00000000006,0,0,0,20.4,0,0,50.6,0,0,0,0.0,0,0,45.2,0,0,0
